ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
960,1,41980,1779,0,2412149,2409664,1779,0,2412149,2409664,2478905,1073552,5223033344,4117856690,100,0,100,100,0.07,0,0.05,0.06
961,1,41980,32429,13394,13572868,13367398,32429,13394,13572868,13367398,2478905,1073552,5223033344,4117856690,100,100,100,100,1.31,1.25,0.26,0.32
962,1,41980,22491,8939,11028515,9876249,22491,8939,11028515,9876249,2478905,1073552,5223033344,4117856690,100,100,100,100,0.91,0.83,0.21,0.24
965,1,41980,9134,3848,2032077,1689483,9134,3848,2032077,1689483,2478905,1073552,5223033344,4117856690,100,100,100,100,0.37,0.36,0.04,0.04
966,1,41980,16676,7894,8405703,8401213,16676,7894,8405703,8401213,2478905,1073552,5223033344,4117856690,100,100,100,100,0.67,0.74,0.16,0.2
968,1,41980,3478,2228,1180763,1180763,3478,2228,1180763,1180763,2478905,1073552,5223033344,4117856690,100,100,100,100,0.14,0.21,0.02,0.03
969,1,41980,42219,17775,12662125,12622328,42219,17775,12662125,12622328,2478905,1073552,5223033344,4117856690,100,100,100,100,1.7,1.66,0.24,0.31
971,1,41980,30986,12895,41418592,41324409,30986,12895,41418592,41324409,2478905,1073552,5223033344,4117856690,100,100,100,100,1.25,1.2,0.79,1
976,1,41980,65136,26564,44094982,43356810,65136,26564,44094982,43356810,2478905,1073552,5223033344,4117856690,100,100,100,100,2.63,2.47,0.84,1.05
979,1,41980,17030,12765,4565904,4061150,17030,12765,4565904,4061150,2478905,1073552,5223033344,4117856690,100,100,100,100,0.69,1.19,0.09,0.1
982,1,41980,16428,7402,3673342,3654231,16428,7402,3673342,3654231,2478905,1073552,5223033344,4117856690,100,100,100,100,0.66,0.69,0.07,0.09
983,1,41980,39234,16985,9610522,8987630,39234,16985,9610522,8987630,2478905,1073552,5223033344,4117856690,100,100,100,100,1.58,1.58,0.18,0.22
985,1,41980,36553,15241,21842799,21083058,36553,15241,21842799,21083058,2478905,1073552,5223033344,4117856690,100,100,100,100,1.47,1.42,0.42,0.51
987,1,41980,63661,25557,64725573,64272333,63661,25557,64725573,64272333,2478905,1073552,5223033344,4117856690,100,100,100,100,2.57,2.38,1.24,1.56
1001,1,44140,16769,7557,31865240,29635470,16769,7557,31865240,29635470,692942,288536,4931427873,4775199911,100,100,100,100,2.42,2.62,0.65,0.62
1002,1,44140,29049,10388,146836622,142556362,29049,10388,146836622,142556362,692942,288536,4931427873,4775199911,100,100,100,100,4.19,3.6,2.98,2.99
1003,1,44140,10372,5,1855172,1842384,10372,5,1855172,1842384,692942,288536,4931427873,4775199911,100,100,100,100,1.5,0,0.04,0.04
1005,1,49340,5079,2044,115253945,114586903,5079,2044,115253945,114586903,798552,326788,4090093562,3912876833,100,100,100,100,0.64,0.63,2.82,2.93
1007,1,44140,14649,5839,143289852,136345999,14649,5839,143289852,136345999,692942,288536,4931427873,4775199911,100,100,100,100,2.11,2.02,2.91,2.86
1008,1,44140,1263,586,144417560,139331467,1263,586,144417560,139331467,692942,288536,4931427873,4775199911,100,100,100,100,0.18,0.2,2.93,2.92
1009,1,44140,741,341,2065025,2065002,741,341,2065025,2065002,692942,288536,4931427873,4775199911,100,100,100,100,0.11,0.12,0.04,0.04
1010,1,44140,3609,1598,91403071,89982811,3609,1598,91403071,89982811,692942,288536,4931427873,4775199911,100,100,100,100,0.52,0.55,1.85,1.88
1011,1,44140,1370,659,82227136,81884563,1370,659,82227136,81884563,692942,288536,4931427873,4775199911,100,100,100,100,0.2,0.23,1.67,1.71
1012,1,44140,661,343,34522824,33977749,661,343,34522824,33977749,692942,288536,4931427873,4775199911,100,100,100,100,0.1,0.12,0.7,0.71
1013,1,44140,23188,10246,16298932,14567022,23188,10246,16298932,14567022,692942,288536,4931427873,4775199911,100,100,100,100,3.35,3.55,0.33,0.31
1020,1,44140,29668,13688,33486648,32308345,29668,13688,33486648,32308345,692942,288536,4931427873,4775199911,100,100,100,100,4.28,4.74,0.68,0.68
1022,1,44140,2451,1209,12324269,12322151,2451,1209,12324269,12322151,692942,288536,4931427873,4775199911,100,100,100,100,0.35,0.42,0.25,0.26
1026,1,44140,946,513,62502751,62170236,946,513,62502751,62170236,692942,288536,4931427873,4775199911,100,100,100,100,0.14,0.18,1.27,1.3
1027,1,44140,17660,8311,106086209,104896540,17660,8311,106086209,104896540,692942,288536,4931427873,4775199911,100,100,100,100,2.55,2.88,2.15,2.2
